time	V(u_l)	V(u_rl)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.765883313980041e-007	3.067105e-003	3.068043e-003	9.381837e-008
1.953176662796008e-006	6.132341e-003	6.136086e-003	3.744325e-007
2.929764994194012e-006	9.195707e-003	9.204127e-003	8.418423e-007
3.906353325592016e-006	1.225720e-002	1.227217e-002	1.496048e-006
4.882941656990020e-006	1.531683e-002	1.534021e-002	2.337049e-006
5.859529988388024e-006	1.837459e-002	1.840824e-002	3.364846e-006
6.836118319786027e-006	2.143047e-002	2.147628e-002	4.579439e-006
1.367177443428198e-005	4.276806e-002	4.295101e-002	1.828327e-005
2.734308666327387e-005	8.517022e-002	8.589979e-002	7.286405e-005
5.468571112125767e-005	1.689521e-001	1.717918e-001	2.833274e-004
1.035138361212577e-004	3.159705e-001	3.251410e-001	9.151386e-004
1.523419611212577e-004	4.597648e-001	4.784137e-001	1.862078e-003
2.011700861212577e-004	5.999796e-001	6.315739e-001	3.155705e-003
2.499982111212577e-004	7.366658e-001	7.845854e-001	4.787343e-003
2.988263361212577e-004	8.698728e-001	9.374123e-001	6.748435e-003
3.476544611212576e-004	9.996490e-001	1.090019e+000	9.030547e-003
3.964825861212576e-004	1.126042e+000	1.242368e+000	1.162536e-002
4.453107111212576e-004	1.249097e+000	1.394426e+000	1.452467e-002
4.941388361212576e-004	1.368861e+000	1.546155e+000	1.772038e-002
5.429669611212577e-004	1.485376e+000	1.697521e+000	2.120451e-002
5.917950861212577e-004	1.598687e+000	1.848487e+000	2.496917e-002
6.406232111212577e-004	1.708835e+000	1.999018e+000	2.900661e-002
6.894513361212578e-004	1.815861e+000	2.149079e+000	3.330914e-002
7.382794611212578e-004	1.919807e+000	2.298634e+000	3.786919e-002
7.871075861212579e-004	2.020711e+000	2.447648e+000	4.267930e-002
8.847638361212580e-004	2.213550e+000	2.743914e+000	5.302024e-002
9.824200861212580e-004	2.394678e+000	3.037597e+000	6.427404e-002
1.080076336121258e-003	2.564384e+000	3.328422e+000	7.638422e-002
1.226560711121258e-003	2.798128e+000	3.758700e+000	9.603506e-002
1.373045086121258e-003	3.007686e+000	4.181019e+000	1.173087e-001
1.512554014692687e-003	3.183988e+000	4.576785e+000	1.392528e-001
1.652062943264115e-003	3.341404e+000	4.961972e+000	1.620276e-001
1.791571871835544e-003	3.479934e+000	5.336579e+000	1.856331e-001
1.931080800406972e-003	3.599578e+000	5.700607e+000	2.100693e-001
2.070589728978401e-003	3.700337e+000	6.054055e+000	2.353362e-001
2.210098657549829e-003	3.782210e+000	6.396924e+000	2.614338e-001
2.349607586121258e-003	3.845197e+000	6.729213e+000	2.883620e-001
2.551895532549828e-003	3.905077e+000	7.189219e+000	3.283720e-001
2.754183478978399e-003	3.935145e+000	7.616283e+000	3.680690e-001
2.956471425406970e-003	3.935402e+000	8.010404e+000	4.074530e-001
3.158759371835540e-003	3.905849e+000	8.371583e+000	4.465242e-001
3.361047318264111e-003	3.846484e+000	8.699820e+000	4.852824e-001
3.563335264692682e-003	3.757309e+000	8.995114e+000	5.237276e-001
3.765623211121253e-003	3.638323e+000	9.257466e+000	5.618599e-001
3.988837496835537e-003	3.477830e+000	9.501156e+000	6.022767e-001
4.212051782549822e-003	3.294652e+000	9.696447e+000	6.401225e-001
4.435266068264107e-003	3.088787e+000	9.843339e+000	6.753972e-001
